,ndvi,et,et_fraction
2018-01-09,0.8868991136550903,4.886437892913818,0.940827488899231
2018-01-17,,,
2018-02-18,0.28808364272117615,2.569488763809204,0.6084381341934204
2018-03-06,,,
2018-03-14,0.47867199778556824,4.942195892333984,1.0508676767349243
2018-03-22,,,
2018-03-30,0.5121904015541077,4.480845928192139,1.0537713766098022
2018-04-23,,,
2018-05-01,0.8378115892410278,3.0708985328674316,0.8895249366760254
2018-05-09,0.8180775046348572,2.618576765060425,0.8188777565956116
2018-05-17,,,
2018-05-25,,,
2018-06-02,0.760818362236023,2.901374578475952,0.9679951071739197
2018-06-10,0.7240880727767944,2.4935903549194336,0.8498920798301697
2018-06-18,0.7013636827468872,2.6885366439819336,0.8574867844581604
2018-06-26,0.5856763124465942,2.048281669616699,0.7929018139839172
2018-07-04,0.43580418825149536,1.9993816614151,0.6357681155204773
2018-07-12,0.27349334955215454,1.5353474617004395,0.5455411672592163
2018-07-20,0.3176819384098053,2.13120436668396,0.6047650575637817
2018-07-28,0.24908991158008575,1.523901104927063,0.421039342880249
2018-08-05,,,
2018-08-13,0.19448475539684296,0.6741396188735962,0.15745197236537933
2018-08-21,0.23205655813217163,1.3933011293411255,0.3238058090209961
2018-08-29,0.17147120833396912,1.5077524185180664,0.3771168291568756
2018-09-06,0.218815416097641,1.6638468503952026,0.3256756067276001
2018-09-14,,,
2018-09-22,0.1894121617078781,1.4644856452941895,0.31595730781555176
2018-09-30,,,
2018-10-08,,,
2018-10-16,,,
2018-12-11,0.4840588867664337,3.1375463008880615,0.6838101744651794
2018-12-19,0.7225927114486694,5.313786506652832,0.9030905961990356
